Specification,ATT,SE,CI_lower,CI_upper,t_stat,p_value,Sig
Main (anticipation=2),-0.39537010220185337,0.1169290028091508,-0.624550947707789,-0.1661892566959178,3.381283451524585,7.214807556283898e-4,***
Anticipation=0,0.044528112401982733,0.07350168956246331,-0.09953519914044534,0.1885914239444108,0.6058107326110074,0.5446404419835353,
Anticipation=1,-0.1719009007546714,0.10087150518691457,-0.3696090509210239,0.025807249411681138,1.7041571892492295,0.08835172477403819,†
Anticipation=3,-0.23757522283781757,0.14416615723531542,-0.5201408910190357,0.04499044534340063,1.6479264439991632,0.0993677661946919,†
Anticipation=4,-0.11311268797127719,0.2025311273377392,-0.510073697553246,0.2838483216106916,0.5584953259192175,0.5765061953489472,
Anticipation=6,-0.2961026749141106,0.21265573438254493,-0.7129079143038985,0.12070256447567745,1.3924039047141494,0.16380012272244127,
Drop small cohorts (≤4),-0.2502498499524751,0.12181350234989533,-0.48900431455827,-0.011495385346680292,2.0543687286296155,0.03994001732535368,*
Time window 2015-2018,-0.3412805163051423,0.09975827375362849,-0.5368067328622541,-0.14575429974803045,3.421074798747998,6.237417481982366e-4,***
Never-treated control,-0.40099530384278037,0.10518713090742364,-0.6071620804213307,-0.19482852726423003,3.8122087786166614,1.3773046085785445e-4,***
1-year pre-period only,-0.39537010220185337,0.11548093789967062,-0.6217127404852077,-0.16902746391849896,3.4236828120096265,6.177868307051249e-4,***
Placebo (pre-period),-0.08695541311367813,0.06315409420732111,-0.2107374377600275,0.03682661153267125,1.3768768946035783,0.16855031187105962,
