term,estimate,std.error,statistic,p.value
income_avg,-0.0232002097410741,0.00775102033559933,-2.99318137955578,0.0036475637869451
pct_asian_final,-0.00226598383545694,0.000870480032900302,-2.6031428060527,0.0109613574999834
pct_age_65plus,0.000364825603023523,0.000154172914517909,2.36634044419745,0.0203232455362907
median_age_final,-0.0352732704849002,0.0160312269588896,-2.2002851419517,0.0305998466627723
pct_non_english_home,-0.00143029045105734,0.000725518727628303,-1.97140390260208,0.052050309194502
(Intercept),0.00279041432204842,0.00141720453685895,1.96895666749206,0.0523358771376582
pct_bachelors_plus,-0.00580342181662074,0.00315095517685276,-1.84179764258574,0.0691201164676487
pct_hispanic_final,0.0197673260239068,0.0120595521034795,1.6391426360025,0.105014902995608
median_home_value,0.00735538739921923,0.00465216921366886,1.58106617824817,0.117712703699561
pct_married_hh,0.0924424172565421,0.06300076071202,1.46732223883933,0.146113538758544
vacancy_rate,0.0160969840455986,0.0110189506753677,1.46084545796022,0.147879122467987
pct_single_parent,-0.0538345587525229,0.0408807480095478,-1.31686824174425,0.191551236918116
pct_foreign_born,0.00120904180654458,0.000929530907589873,1.30070102744559,0.197004315910616
pct_black_final,3.43910198491811e-06,2.68013518501283e-06,1.28318228280028,0.203043014013098
lfpr,0.00604256585679072,0.00482931471585726,1.25122635659873,0.214409901581612
homeownership_rate,0.0125735878523175,0.0105015643693878,1.1973061736373,0.234637019707375
median_rent_final,0.00356904057291499,0.00359750570779123,0.992087535868368,0.32407335255093
emp_rate,0.00314671735003862,0.00348480574371448,0.902982140601189,0.369180347866882
pct_male_final,-0.00461370429614205,0.0630150489301037,-0.0732159123015135,0.94181260549912
pct_rent_burdened_final,0.00180812456370132,0.0380637481243256,0.0475025359508879,0.962228213562498
pov_le_130fpl_share,-2.2103125346322e-06,0.00395637916814928,-0.000558670552212554,0.999555602320033
